geoid,geoid20,year,total_pop
1400000US06037212701,6037212701,2022,2277
1400000US06037212702,6037212702,2022,3360
1400000US06037212800,6037212800,2022,3176
1400000US06037212900,6037212900,2022,3842
1400000US06037213100,6037213100,2022,2860
1400000US06037213201,6037213201,2022,4162
1400000US06037213202,6037213202,2022,3899
1400000US06037213310,6037213310,2022,2578
1400000US06037213320,6037213320,2022,2569
1400000US06037213401,6037213401,2022,4818
1400000US06037213402,6037213402,2022,4697
1400000US06037214000,6037214000,2022,3692
1400000US06037214100,6037214100,2022,3569
1400000US06037214400,6037214400,2022,2905
1400000US06037214501,6037214501,2022,3679
1400000US06037214503,6037214503,2022,3302
1400000US06037214504,6037214504,2022,3532
1400000US06037214505,6037214505,2022,1469
1400000US06037214600,6037214600,2022,2247
1400000US06037214700,6037214700,2022,2320
1400000US06037214800,6037214800,2022,2835
