geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037120104,6037120104,2022,2375,22,.92631578,354,14.905263,184,7.7473683,1450,61.052631,0,0,0,0,111,4.6736841,254,10.694736
1400000US06037120105,6037120105,2022,2691,0,0,375,13.93534,29,1.0776663,2114,78.558159,0,0,0,0,17,.63173544,156,5.7971015
1400000US06037120106,6037120106,2022,4443,0,0,954,21.471979,40,.90029258,3311,74.521721,2,.045014631,15,.33760971,24,.54017556,97,2.1832097
1400000US06037120107,6037120107,2022,4044,0,0,321,7.9376855,97,2.3986151,3414,84.421364,17,.42037585,5,.12363996,30,.74183977,160,3.9564788
1400000US06037120108,6037120108,2022,4511,0,0,416,9.2219019,30,.66504103,3484,77.233429,0,0,13,.28818443,13,.28818443,555,12.303259
1400000US06037120300,6037120300,2022,5299,0,0,1334,25.174561,255,4.8122287,2504,47.2542,0,0,21,.39630118,141,2.6608794,1044,19.70183
1400000US06037120400,6037120400,2022,6170,0,0,996,16.142626,343,5.5591574,3423,55.478119,0,0,0,0,0,0,1408,22.820097
1400000US06037121010,6037121010,2022,5277,0,0,370,7.0115595,1,.018950161,3272,62.004929,0,0,71,1.3454615,35,.66325563,1528,28.955847
1400000US06037121020,6037121020,2022,3661,0,0,209,5.7088227,73,1.9939907,2280,62.278065,0,0,0,0,141,3.8514068,958,26.167713
1400000US06037121101,6037121101,2022,3191,0,0,219,6.8630524,55,1.7235976,2302,72.140396,0,0,34,1.0654967,23,.72077721,558,17.486681
1400000US06037121102,6037121102,2022,2271,0,0,95,4.1831794,56,2.465874,1080,47.556141,0,0,53,2.3337736,21,.92470276,966,42.536327
