geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count
1400000US06037222600,6037222600,2023,706,640,90.650002,614,26
1400000US06037224010,6037224010,2023,11,11,100,11,0
1400000US06037224020,6037224020,2023,1608,1533,95.339996,1453,80
1400000US06037224320,6037224320,2023,432,398,92.129997,375,23
1400000US06037224410,6037224410,2023,1727,1520,88.010002,1468,52
1400000US06037224420,6037224420,2023,735,606,82.449997,549,57
1400000US06037224600,6037224600,2023,1030,1002,97.279999,980,22
1400000US06037224702,6037224702,2023,890,791,88.879997,735,56
1400000US06037226001,6037226001,2023,2623,2557,97.480003,2516,41
1400000US06037226002,6037226002,2023,807,738,91.449997,722,16
1400000US06037226702,6037226702,2023,1061,1036,97.639999,1006,30
1400000US06037227020,6037227020,2023,1069,1062,99.349998,1039,23
1400000US06037228100,6037228100,2023,1564,1527,97.629997,1457,70
1400000US06037228210,6037228210,2023,1497,1468,98.059998,1437,31
1400000US06037228310,6037228310,2023,1056,1024,96.970001,1011,13
1400000US06037228320,6037228320,2023,471,463,98.300003,457,6
1400000US06037228410,6037228410,2023,688,673,97.82,626,47
1400000US06037228420,6037228420,2023,1216,971,79.849998,971,0
1400000US06037228500,6037228500,2023,605,597,98.68,572,25
1400000US06037228600,6037228600,2023,1104,1087,98.459999,1072,15
1400000US06037228710,6037228710,2023,1473,1391,94.43,1357,34
1400000US06037228720,6037228720,2023,638,627,98.279999,615,12
1400000US06037228800,6037228800,2023,155,154,99.349998,152,2
1400000US06037229200,6037229200,2023,528,517,97.919998,511,6
1400000US06037229300,6037229300,2023,493,486,98.580002,459,27
1400000US06037229410,6037229410,2023,2725,2680,98.349998,2613,67
1400000US06037229420,6037229420,2023,1317,1297,98.480003,1278,19
1400000US06037231100,6037231100,2023,1676,1629,97.199997,1564,65
1400000US06037231220,6037231220,2023,1107,943,85.190002,870,73
1400000US06037231302,6037231302,2023,313,306,97.760002,300,6
1400000US06037231400,6037231400,2023,139,87,62.59,87,0
1400000US06037231500,6037231500,2023,362,342,94.480003,317,25
1400000US06037231603,6037231603,2023,967,944,97.620003,920,24
1400000US06037231710,6037231710,2023,479,471,98.330002,463,8
1400000US06037231720,6037231720,2023,361,244,67.589996,236,8
1400000US06037231800,6037231800,2023,530,524,98.870003,519,5
1400000US06037232110,6037232110,2023,1025,1008,98.339996,998,10
1400000US06037232200,6037232200,2023,1175,1111,94.550003,1053,58
1400000US06037232300,6037232300,2023,237,232,97.889999,212,20
1400000US06037232401,6037232401,2023,742,707,95.279999,693,14
1400000US06037232500,6037232500,2023,522,496,95.019997,483,13
1400000US06037234001,6037234001,2023,629,552,87.760002,525,27
1400000US06037234002,6037234002,2023,394,358,90.860001,336,22
1400000US06037234301,6037234301,2023,548,530,96.720001,519,11
1400000US06037234501,6037234501,2023,786,753,95.800003,735,18
1400000US06037234502,6037234502,2023,440,427,97.050003,395,32
1400000US06037234600,6037234600,2023,2014,1968,97.720001,1791,177
1400000US06037234700,6037234700,2023,205,191,93.169998,181,10
1400000US06037234901,6037234901,2023,427,413,96.720001,407,6
1400000US06037234902,6037234902,2023,291,270,92.779999,255,15
1400000US06037235201,6037235201,2023,980,927,94.589996,880,47
1400000US06037236203,6037236203,2023,660,636,96.360001,590,46
1400000US06037236204,6037236204,2023,515,503,97.669998,497,6
1400000US06037236400,6037236400,2023,120,118,98.330002,118,0
1400000US06037237101,6037237101,2023,2452,2393,97.589996,2359,34
1400000US06037237102,6037237102,2023,549,539,98.18,532,7
1400000US06037237300,6037237300,2023,598,575,96.150002,566,9
1400000US06037237500,6037237500,2023,449,443,98.660004,438,5
1400000US06037237600,6037237600,2023,516,504,97.669998,498,6
1400000US06037237800,6037237800,2023,411,402,97.809998,390,12
1400000US06037237900,6037237900,2023,336,305,90.769997,296,9
1400000US06037238000,6037238000,2023,610,597,97.870003,592,5
1400000US06037238100,6037238100,2023,240,233,97.080002,233,0
1400000US06037238200,6037238200,2023,670,647,96.57,612,35
1400000US06037238320,6037238320,2023,1128,1068,94.68,984,84
1400000US06037238400,6037238400,2023,288,283,98.260002,278,5
1400000US06037239201,6037239201,2023,947,640,67.580002,637,3
1400000US06037239320,6037239320,2023,858,845,98.480003,831,14
1400000US06037239330,6037239330,2023,698,682,97.709999,668,14
1400000US06037239502,6037239502,2023,3120,3066,98.269997,3021,45
1400000US06037239601,6037239601,2023,755,727,96.290001,723,4
1400000US06037239802,6037239802,2023,843,817,96.919998,802,15
1400000US06037240010,6037240010,2023,1125,1104,98.129997,1074,30
1400000US06037240020,6037240020,2023,405,387,95.559998,371,16
1400000US06037240200,6037240200,2023,635,624,98.269997,617,7
1400000US06037240301,6037240301,2023,556,543,97.660004,538,5
1400000US06037240302,6037240302,2023,114,109,95.610001,106,3
1400000US06037240401,6037240401,2023,955,933,97.699997,911,22
1400000US06037240500,6037240500,2023,1407,1384,98.370003,1310,74
1400000US06037240600,6037240600,2023,781,769,98.459999,761,8
1400000US06037240700,6037240700,2023,462,451,97.620003,441,10
1400000US06037240902,6037240902,2023,1974,1882,95.339996,1817,65
1400000US06037241001,6037241001,2023,786,769,97.839996,735,34
1400000US06037241110,6037241110,2023,982,965,98.269997,943,22
1400000US06037241120,6037241120,2023,443,443,100,436,7
1400000US06037241202,6037241202,2023,497,483,97.18,476,7
1400000US06037241400,6037241400,2023,457,452,98.910004,446,6
1400000US06037242000,6037242000,2023,255,254,99.610001,249,5
1400000US06037242100,6037242100,2023,767,758,98.830002,747,11
1400000US06037242201,6037242201,2023,628,614,97.769997,598,16
1400000US06037242202,6037242202,2023,747,728,97.459999,708,20
1400000US06037242300,6037242300,2023,544,537,98.709999,532,5
1400000US06037242600,6037242600,2023,335,330,98.510002,327,3
1400000US06037242700,6037242700,2023,1076,1060,98.510002,1048,12
1400000US06037243001,6037243001,2023,497,482,96.980003,460,22
1400000US06037243002,6037243002,2023,301,297,98.669998,292,5
1400000US06037243100,6037243100,2023,358,351,98.040001,348,3
1400000US06037262200,6037262200,2023,829,130,15.68,120,10
1400000US06037262303,6037262303,2023,443,38,8.5799999,38,0
1400000US06037262604,6037262604,2023,306,42,13.73,42,0
1400000US06037262704,6037262704,2023,2876,766,26.629999,705,61
