geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count,food_desert,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct,total_pop
1400000US06037133101,6037133101,2022,395,352,89.110001,339,13,no,1827,85,4.6524358,374,20.470716,1827
1400000US06037133102,6037133102,2022,1893,987,52.139999,809,178,no,3535,477,13.493635,1471,41.612446,3703
1400000US06037134001,6037134001,2022,614,592,96.419998,580,12,no,3714,479,12.897146,1466,39.472267,3715
1400000US06037134002,6037134002,2022,437,244,55.84,220,24,no,3797,592,15.591256,1182,31.129839,3798
1400000US06037134101,6037134101,2022,322,294,91.300003,283,11,no,5401,995,18.422514,2413,44.67691,5414
1400000US06037134103,6037134103,2022,441,409,92.739998,398,11,no,4477,1489,33.258881,1695,37.860176,4584
1400000US06037134104,6037134104,2022,415,376,90.599998,342,34,no,4385,831,18.95097,1669,38.061573,4419
1400000US06037134302,6037134302,2022,386,283,73.32,258,25,no,4278,569,13.300608,673,15.73165,4287
1400000US06037134303,6037134303,2022,498,479,96.18,462,17,no,5483,345,6.2921758,946,17.253328,5597
1400000US06037134304,6037134304,2022,991,916,92.43,856,60,no,2844,459,16.13924,956,33.614628,3045
1400000US06037134421,6037134421,2022,541,128,23.66,121,7,no,4292,139,3.2385833,663,15.447344,4292
1400000US06037134422,6037134422,2022,204,135,66.18,115,20,no,4933,148,3.0002027,267,5.412528,4933
1400000US06037134423,6037134423,2022,351,131,37.32,115,16,no,3243,276,8.5106382,564,17.391304,3243
1400000US06037134520,6037134520,2022,1461,1319,90.279999,1271,48,no,5263,1286,24.434732,2897,55.044651,5263
1400000US06037134522,6037134522,2022,643,564,87.709999,518,46,no,4741,1171,24.69943,2289,48.280952,4741
1400000US06037134720,6037134720,2022,1471,1334,90.690002,1243,91,no,5195,724,13.936478,1402,26.987488,5195
1400000US06037134801,6037134801,2022,357,332,93,316,16,no,3072,477,15.527344,798,25.976563,3091
1400000US06037135102,6037135102,2022,264,138,52.27,126,12,no,3648,295,8.0866232,698,19.133772,3652
1400000US06037135202,6037135202,2022,729,135,18.52,124,11,no,4625,419,9.0594597,749,16.194595,4625
1400000US06037135204,6037135204,2022,794,220,27.709999,204,16,no,4481,115,2.5663915,933,20.821245,4481
1400000US06037137000,6037137000,2022,3560,1128,31.690001,1024,104,no,5029,385,7.6555977,1175,23.364487,5035
1400000US06037137104,6037137104,2022,578,470,81.309998,449,21,no,2416,457,18.915564,571,23.634106,2416
1400000US06037137203,6037137203,2022,636,443,69.650002,421,22,no,2654,178,6.7068577,334,12.584778,2660
1400000US06037137301,6037137301,2022,511,176,34.439999,166,10,no,2142,46,2.1475258,157,7.3295984,2142
1400000US06037137302,6037137302,2022,1976,711,35.98,623,88,yes,4376,307,7.0155392,488,11.151737,4376
1400000US06037137401,6037137401,2022,601,140,23.290001,129,11,no,4493,343,7.6340976,591,13.153795,4567
1400000US06037137402,6037137402,2022,397,104,26.200001,87,17,no,5587,139,2.4879184,771,13.799892,5663
1400000US06037137501,6037137501,2022,2741,1382,50.419998,1188,194,no,5419,757,13.969367,1293,23.860491,5426
1400000US06037139001,6037139001,2022,290,101,34.830002,82,19,no,5511,392,7.1130466,811,14.716022,5511
1400000US06037139200,6037139200,2022,245,141,57.549999,123,18,no,5946,488,8.2071981,1005,16.902119,5946
1400000US06037139301,6037139301,2022,542,383,70.660004,344,39,no,4150,221,5.3253012,406,9.7831326,4243
1400000US06037139402,6037139402,2022,2798,1070,38.240002,971,99,no,2892,340,11.75657,715,24.723375,2893
1400000US06037139502,6037139502,2022,375,206,54.93,193,13,no,3113,163,5.2361069,323,10.375843,3113
1400000US06037139600,6037139600,2022,521,156,29.940001,133,23,no,5134,307,5.979743,648,12.621737,5134
1400000US06037139701,6037139701,2022,490,39,7.96,35,4,no,5335,706,13.233364,872,16.344893,5388
1400000US06037141101,6037141101,2022,610,157,25.74,149,8,no,4434,329,7.4199367,786,17.726658,4434
1400000US06037141304,6037141304,2022,522,155,29.690001,148,7,no,3011,347,11.52441,594,19.727665,3011
1400000US06037141400,6037141400,2022,478,82,17.15,73,9,no,4986,286,5.7360611,762,15.282792,5019
1400000US06037143200,6037143200,2022,752,412,54.790001,376,36,no,4235,408,9.6340027,1072,25.312868,4235
1400000US06037143302,6037143302,2022,1469,739,50.310001,683,56,no,3258,246,7.5506444,532,16.329037,3258
1400000US06037143700,6037143700,2022,159,43,27.040001,39,4,yes,3438,241,7.0098896,485,14.107039,3438
1400000US06037143801,6037143801,2022,825,105,12.73,101,4,no,3411,163,4.7786574,292,8.5605392,3411
1400000US06037181000,6037181000,2022,400,362,90.5,327,35,no,5903,580,9.8255129,1238,20.972387,5992
1400000US06037181400,6037181400,2022,717,286,39.889999,229,57,no,4558,331,7.2619572,1121,24.59412,4655
1400000US06037181500,6037181500,2022,752,286,38.029999,259,27,no,4097,603,14.718086,946,23.090065,4106
1400000US06037181600,6037181600,2022,2118,1052,49.669998,881,171,no,2791,64,2.2930849,292,10.4622,4438
1400000US06037183101,6037183101,2022,1233,1058,85.809998,989,69,no,2741,430,15.687705,640,23.349142,2741
1400000US06037183104,6037183104,2022,230,157,68.260002,141,16,no,1894,191,10.084477,471,24.868004,1902
1400000US06037183220,6037183220,2022,194,165,85.050003,156,9,no,2983,267,8.9507208,718,24.069729,3118
1400000US06037183401,6037183401,2022,252,202,80.160004,183,19,no,2386,328,13.746857,697,29.21207,2416
1400000US06037183402,6037183402,2022,229,195,85.150002,182,13,no,2822,383,13.571935,802,28.419561,2939
1400000US06037183510,6037183510,2022,1401,1238,88.370003,1148,90,no,2344,135,5.7593856,315,13.438566,2346
1400000US06037183520,6037183520,2022,261,242,92.720001,229,13,no,3789,569,15.017155,1433,37.820004,3850
1400000US06037183702,6037183702,2022,152,130,85.529999,119,11,no,3074,182,5.9206247,497,16.16786,3074
1400000US06037183810,6037183810,2022,355,306,86.199997,288,18,no,4259,689,16.177507,1628,38.224934,4259
1400000US06037185101,6037185101,2022,431,341,79.120003,318,23,no,2714,192,7.074429,447,16.470154,2780
1400000US06037185102,6037185102,2022,361,269,74.519997,252,17,no,3542,272,7.6792774,438,12.365895,3542
1400000US06037185204,6037185204,2022,407,60,14.74,57,3,no,1778,344,19.347582,595,33.464565,1778
1400000US06037185310,6037185310,2022,1006,921,91.550003,869,52,no,2892,543,18.775934,866,29.944675,2897
1400000US06037186100,6037186100,2022,436,209,47.939999,170,39,no,4724,232,4.9110923,627,13.272651,4725
1400000US06037186401,6037186401,2022,1574,1217,77.32,1148,69,no,2692,322,11.961367,1266,47.028233,2692
1400000US06037186404,6037186404,2022,248,220,88.709999,208,12,no,2663,627,23.544874,1104,41.457005,2663
1400000US06037187101,6037187101,2022,278,153,55.040001,143,10,no,2992,210,7.0187168,550,18.382353,3029
1400000US06037187102,6037187102,2022,1344,773,57.509998,664,109,no,4637,901,19.430666,1802,38.861332,4637
1400000US06037187300,6037187300,2022,272,209,76.839996,177,32,no,3678,232,6.307776,560,15.225666,3678
1400000US06037188201,6037188201,2022,407,45,11.06,37,8,no,3017,210,6.960557,452,14.98177,3027
1400000US06037188300,6037188300,2022,183,111,60.66,96,15,no,3475,285,8.2014389,482,13.870503,3475
1400000US06037189201,6037189201,2022,354,307,86.720001,286,21,no,2894,534,18.451969,925,31.962681,2908
1400000US06037189501,6037189501,2022,214,157,73.360001,145,12,no,2182,224,10.265811,345,15.811182,2182
1400000US06037189905,6037189905,2022,294,149,50.68,134,15,no,2399,238,9.9208002,469,19.549812,2412
1400000US06037190102,6037190102,2022,1178,1085,92.110001,1060,25,no,2614,400,15.302218,787,30.107115,2657
1400000US06037190510,6037190510,2022,370,353,95.410004,341,12,no,3937,970,24.63805,1838,46.685295000000004,3974
1400000US06037190901,6037190901,2022,1233,1189,96.43,1133,56,no,3579,1074,30.008383,2092,58.45208,3609
1400000US06037190902,6037190902,2022,769,727,94.540001,701,26,no,3720,628,16.88172,1286,34.569893,3754
1400000US06037191120,6037191120,2022,303,290,95.709999,283,7,no,3686,597,16.196419,1587,43.054802,3892
1400000US06037191204,6037191204,2022,310,296,95.480003,288,8,no,1480,339,22.905405,571,38.581081,1480
1400000US06037191301,6037191301,2022,78,66,84.620003,63,3,no,1993,452,22.679379,803,40.291019,1993
1400000US06037191410,6037191410,2022,346,335,96.82,321,14,no,3276,1014,30.952381,1438,43.894993,3409
1400000US06037191720,6037191720,2022,769,734,95.449997,684,50,no,3475,577,16.604317000000002,1817,52.287769,3492
1400000US06037191810,6037191810,2022,282,266,94.330002,258,8,no,2807,172,6.1275382,1192,42.465267,2807
1400000US06037191901,6037191901,2022,501,460,91.82,438,22,no,3931,811,20.630882,1347,34.26609,3932
1400000US06037192001,6037192001,2022,420,171,40.709999,139,32,no,1962,394,20.081549,549,27.981651,2131
1400000US06037192002,6037192002,2022,1672,1201,71.830002,1103,98,no,2567,201,7.830152,581,22.633425,2586
1400000US06037192410,6037192410,2022,170,148,87.059998,136,12,no,4066,253,6.2223315,713,17.535662,4066
1400000US06037192520,6037192520,2022,256,239,93.360001,235,4,no,5119,947,18.499706,2135,41.707363,5119
1400000US06037192620,6037192620,2022,498,473,94.980003,456,17,no,3549,903,25.443787,2141,60.326851,3562
1400000US06037192700,6037192700,2022,252,237,94.050003,228,9,no,3231,761,23.55308,1712,52.986691,3234
1400000US06037194300,6037194300,2022,424,84,19.809999,83,1,yes,2746,162,5.8994904,319,11.616898,2746
1400000US06037195201,6037195201,2022,2354,1416,60.150002,1228,188,no,2698,263,9.747961,503,18.64344,2698
1400000US06037195300,6037195300,2022,1826,1173,64.239998,1070,103,no,2903,366,12.607647,773,26.627626,2903
1400000US06037195400,6037195400,2022,335,128,38.209999,123,5,no,4215,365,8.6595488,610,14.472123,4221
1400000US06037195500,6037195500,2022,142,126,88.730003,116,10,no,5010,231,4.6107783,470,9.381238,5010
1400000US06037195710,6037195710,2022,795,731,91.949997,701,30,no,4698,1680,35.759899,2743,58.386547,4860
